,0
0,-6.9527602663521595
1,-0.9426660566399709
2,7.033207310656869
3,5.1567173470975805
4,5.220286647136352
5,6.586826069960993
6,0.08023462706592888
7,-3.5228149456461395
8,-8.534727477418553
9,-6.999903524444962
10,-1.0998393815285668
11,-2.459195977839339
12,-4.392179526642785
13,-1.5029393164442104
14,-9.594115673553183
15,-4.561614161241933
16,4.6807877332255465
17,-6.618195697290535
18,8.852804185192925
19,8.234302423043475
20,11.533267681616685
21,3.777153400487224
22,8.57936349540127
23,6.688214490733973
24,7.931243437038335
25,7.303641867567556
26,-3.6360045839084902
27,1.8583851576973038
28,4.126092584759838
29,-4.973385138959838
30,-2.31351173935305
31,-12.594174394634361
32,-13.264313555678033
33,-4.597639789951421
34,-3.061681003280166
35,3.838532449906234
36,-11.423729597968594
37,-6.905055694897971
38,0.23814411792511736
39,-2.153378603950545
40,1.0782977843101773
41,4.991301732939705
42,2.9170332641533774
43,-0.6208038895299945
44,-6.913227766285077
45,-1.6963398894167856
46,-0.6872381258991971
47,-2.3061038875814432
48,0.9014157221330937
49,-0.7108660927731589
50,-4.444009420224855
51,-5.478604723831564
52,-0.7064392864889975
53,3.9203924295459123
54,2.6889017496152343
55,4.499111552111063
56,4.767174965645345
57,5.473068305698454
58,4.072092548799046
59,7.0935035915414435
60,11.06559908518983
61,14.070132833675569
62,15.523190579784393
63,6.354871414769026
64,9.403302890103388
65,11.314289929538926
66,3.6955866817147456
67,2.4864186797599404
68,-6.103415726815426
69,-10.9503922739216
70,-8.291310197623119
71,-6.771008920218517
72,-15.07509130278914
73,-5.934007868435975
74,-1.8033227943112258
75,-2.1286039616775376
76,2.289742996399376
77,1.0982858277581404
78,1.581473680872687
79,-7.181978583129563
80,-4.377780865560982
81,-10.520584273935446
82,-9.634720344828295
83,-6.110136251429147
84,-10.275330388840521
85,-8.91098636167709
86,-2.6936311103714967
87,-0.7626082718813505
88,-2.6599050957688783
89,-2.5338075922204872
90,2.2281051864836265
91,-3.5004816851228675
92,-4.525725290191186
93,3.135390288818801
94,-5.12533231017887
95,-6.565001150963788
96,-3.0078173271793798
97,-4.54443764619749
98,-4.977310228796011
99,-1.7894736082131093
100,8.368027447276525
101,11.381249976786854
102,12.362657618884864
103,2.4499774057209667
104,6.079665847649678
105,9.995078779961965
106,9.592632177484088
107,5.133146196760456
108,3.531227768163337
109,10.236901147286884
110,13.693434759499507
111,10.22599083649989
112,17.94590086486293
113,16.96803465127171
114,8.68823107405153
115,11.590557291201604
116,6.188250866806401
117,7.173409050754406
118,5.0069019789848195
119,1.525995040137798
120,-2.939936660515875
121,-3.0316373506142664
122,-8.23546570415358
123,-12.321081901465877
124,-5.168931003088547
125,-6.639031024666888
126,-8.175639330722468
127,-6.9252067565117335
128,-3.8858909910503736
129,-10.456510349067017
130,-5.217746963087215
131,-5.35606554103264
132,-6.33888474057248
133,-4.299527895622819
134,-8.367112105258922
135,-12.231713340781873
136,-14.106861505887473
137,-12.78029414112355
138,-14.71568909706822
139,-5.179341171346929
140,-3.1234460644105537
141,-5.84737943661754
142,-1.790482389307178
143,-1.1340702124717859
144,-3.691770690745143
145,-2.771646003568974
146,-8.040358641724644
147,-5.191969097870274
148,-6.275928605776764
149,-1.0968471337727301
150,8.42339384428487
151,-3.69938488771201
152,6.462987037495367
153,12.293341710006999
154,3.0995532963027927
155,3.430018392145354
156,4.7337301741365225
157,7.1278273942169275
158,3.849503034515988
159,-0.9737794488448444
160,10.334059064192566
161,13.963695054492707
162,13.473330535684191
163,15.758306537965899
164,11.304906155159005
165,1.1518332342776247
166,6.3784558222529295
167,2.1515700178620496
168,5.113155888768054
169,7.576302592761635
170,6.975344965668498
171,5.711541880477336
172,6.7559623136086975
173,8.160498960123547
174,6.518766172269189
175,3.2407768465167477
176,-0.767751843681336
177,-2.961185655919827
178,-3.625110986971743
179,-4.963654905322171
180,-3.111366228364393
181,-8.167959643748109
182,-3.600824169232895
183,-1.4463883807936155
184,-11.172996224836163
185,-3.150331815756778
186,-6.189768469125509
187,-11.457720638350999
188,-16.277676435487408
189,-15.171406847127612
190,-10.81270947210701
191,-5.432158089829848
192,-3.934174052239735
193,3.0389123589870284
194,8.74738451781889
195,8.085004454020474
196,1.334306024681581
197,2.5542698183142085
198,2.100562141218334
199,4.787147237508048
200,4.975795199959008
201,2.105374076985811
202,11.642237566277439
203,11.227336361315231
204,6.4720248613642255
205,1.2951086227079749
206,-2.5347480296754568
207,-5.768582175565852
208,-8.691836131356657
209,-8.82249946541878
